,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8697864764047947,0.9041095890410958,0.8918918918918919,0.9702970297029703,0.9492753623188406,0.9166666666666666,33,3,98,4
1,2,0.8916691617880451,0.9210526315789475,0.9459459459459459,0.9603960396039604,0.9565217391304348,0.8974358974358975,35,4,97,2
2,3,0.8190087872225003,0.868421052631579,0.8918918918918919,0.9405940594059405,0.927536231884058,0.8461538461538461,33,6,95,4
3,4,0.7865609220045315,0.8433734939759038,0.9459459459459459,0.8910891089108911,0.9057971014492754,0.7608695652173914,35,11,90,2
4,5,0.8235773330351751,0.8717948717948718,0.918918918918919,0.9306930693069307,0.927536231884058,0.8292682926829268,34,7,94,3
