,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8289977821198921,0.875,0.9459459459459459,0.9207920792079208,0.927536231884058,0.813953488372093,35,8,93,2
1,2,0.9070399009063035,0.9315068493150684,0.918918918918919,0.9801980198019802,0.9637681159420289,0.9444444444444444,34,2,99,3
2,3,0.7952796274017768,0.8493150684931507,0.8378378378378378,0.9504950495049505,0.9202898550724637,0.8611111111111112,31,5,96,6
3,4,0.8522879314958522,0.8918918918918919,0.8918918918918919,0.9603960396039604,0.9420289855072463,0.8918918918918919,33,4,97,4
4,5,0.7310433447039718,0.8051948051948051,0.8378378378378378,0.9108910891089109,0.8913043478260869,0.775,31,9,92,6
