,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8892159486218892,0.918918918918919,0.918918918918919,0.9702970297029703,0.9565217391304348,0.918918918918919,34,3,98,3
1,2,0.8879125143098573,0.9166666666666667,0.8918918918918919,0.9801980198019802,0.9565217391304348,0.9428571428571428,33,2,99,4
2,3,0.7751184729093415,0.8333333333333334,0.8108108108108109,0.9504950495049505,0.9130434782608695,0.8571428571428571,30,5,96,7
3,4,0.7328658441928919,0.7999999999999999,0.972972972972973,0.8316831683168316,0.8695652173913043,0.6792452830188679,36,17,84,1
4,5,0.800321408297636,0.8536585365853658,0.9459459459459459,0.900990099009901,0.9130434782608695,0.7777777777777778,35,10,91,2
