,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.9077826570117096,0.927536231884058,0.8648648648648649,1.0,0.9637681159420289,1.0,32,0,101,5
1,2,0.895170197261225,0.923076923076923,0.972972972972973,0.9504950495049505,0.9565217391304348,0.8780487804878049,36,5,96,1
2,3,0.8325330519032857,0.8767123287671232,0.8648648648648649,0.9603960396039604,0.9347826086956522,0.8888888888888888,32,4,97,5
3,4,0.8307861845153497,0.8732394366197184,0.8378378378378378,0.9702970297029703,0.9347826086956522,0.9117647058823529,31,3,98,6
4,5,0.8553389745052727,0.8947368421052632,0.918918918918919,0.9504950495049505,0.9420289855072463,0.8717948717948718,34,5,96,3
