,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.5931651660550811,0.6865671641791045,0.6216216216216216,0.9306930693069307,0.8478260869565217,0.7666666666666667,23,7,94,14
1,2,0.6888923164704022,0.7733333333333334,0.7837837837837838,0.9108910891089109,0.8768115942028986,0.7631578947368421,29,9,92,8
2,3,0.5372058761309757,0.6666666666666667,0.7027027027027027,0.8514851485148515,0.8115942028985508,0.6341463414634146,26,15,86,11
3,4,0.4399137199391165,0.606060606060606,0.8108108108108109,0.6831683168316832,0.717391304347826,0.4838709677419355,30,32,69,7
4,5,0.5909482247050791,0.7073170731707318,0.7837837837837838,0.8415841584158416,0.8260869565217391,0.6444444444444445,29,16,85,8
