,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8719954360253241,0.9066666666666667,0.918918918918919,0.9603960396039604,0.9492753623188406,0.8947368421052632,34,4,97,3
1,2,0.8719954360253241,0.9066666666666667,0.918918918918919,0.9603960396039604,0.9492753623188406,0.8947368421052632,34,4,97,3
2,3,0.8553389745052727,0.8947368421052632,0.918918918918919,0.9504950495049505,0.9420289855072463,0.8717948717948718,34,5,96,3
3,4,0.7519844688091253,0.8205128205128206,0.8648648648648649,0.9108910891089109,0.8985507246376812,0.7804878048780488,32,9,92,5
4,5,0.8353748121143397,0.88,0.8918918918918919,0.9504950495049505,0.9347826086956522,0.868421052631579,33,5,96,4
