,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8752663347956775,0.9090909090909091,0.9459459459459459,0.9504950495049505,0.9492753623188406,0.875,35,5,96,2
1,2,0.8522079373370113,0.8787878787878788,0.7837837837837838,1.0,0.9420289855072463,1.0,29,0,101,8
2,3,0.8302616132817493,0.8695652173913043,0.8108108108108109,0.9801980198019802,0.9347826086956522,0.9375,30,2,99,7
3,4,0.8697864764047947,0.9041095890410958,0.8918918918918919,0.9702970297029703,0.9492753623188406,0.9166666666666666,33,3,98,4
4,5,0.7952796274017768,0.8493150684931507,0.8378378378378378,0.9504950495049505,0.9202898550724637,0.8611111111111112,31,5,96,6
