,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.800321408297636,0.8536585365853658,0.9459459459459459,0.900990099009901,0.9130434782608695,0.7777777777777778,35,10,91,2
1,2,0.8879125143098573,0.9166666666666667,0.8918918918918919,0.9801980198019802,0.9565217391304348,0.9428571428571428,33,2,99,4
2,3,0.8495369448840479,0.8857142857142858,0.8378378378378378,0.9801980198019802,0.9420289855072463,0.9393939393939394,31,2,99,6
3,4,0.8084089790515788,0.860759493670886,0.918918918918919,0.9207920792079208,0.9202898550724637,0.8095238095238095,34,8,93,3
4,5,0.7728575325540907,0.8354430379746834,0.8918918918918919,0.9108910891089109,0.9057971014492754,0.7857142857142857,33,9,92,4
