,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.9077826570117096,0.927536231884058,0.8648648648648649,1.0,0.9637681159420289,1.0,32,0,101,5
1,2,0.9113220823186039,0.935064935064935,0.972972972972973,0.9603960396039604,0.9637681159420289,0.9,36,4,97,1
2,3,0.8593737651482001,0.8974358974358975,0.9459459459459459,0.9405940594059405,0.9420289855072463,0.8536585365853658,35,6,95,2
3,4,0.7375204591091696,0.8055555555555555,0.7837837837837838,0.9405940594059405,0.8985507246376812,0.8285714285714286,29,6,95,8
4,5,0.843960425549067,0.8860759493670887,0.9459459459459459,0.9306930693069307,0.9347826086956522,0.8333333333333334,35,7,94,2
