,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8752663347956775,0.9090909090909091,0.9459459459459459,0.9504950495049505,0.9492753623188406,0.875,35,5,96,2
1,2,0.8697864764047947,0.9041095890410958,0.8918918918918919,0.9702970297029703,0.9492753623188406,0.9166666666666666,33,3,98,4
2,3,0.7728368477993252,0.8285714285714285,0.7837837837837838,0.9603960396039604,0.9130434782608695,0.8787878787878788,29,4,97,8
3,4,0.8879125143098573,0.9166666666666667,0.8918918918918919,0.9801980198019802,0.9565217391304348,0.9428571428571428,33,2,99,4
4,5,0.8031548397498246,0.8571428571428571,0.8918918918918919,0.9306930693069307,0.9202898550724637,0.825,33,7,94,4
