,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.9473778298415303,0.961038961038961,1.0,0.9702970297029703,0.9782608695652174,0.925,37,3,98,0
1,2,0.8916691617880451,0.9210526315789475,0.9459459459459459,0.9603960396039604,0.9565217391304348,0.8974358974358975,35,4,97,2
2,3,0.839210587272751,0.8831168831168831,0.918918918918919,0.9405940594059405,0.9347826086956522,0.85,34,6,95,3
3,4,0.8503145005096854,0.888888888888889,0.8648648648648649,0.9702970297029703,0.9420289855072463,0.9142857142857143,32,3,98,5
4,5,0.839210587272751,0.8831168831168831,0.918918918918919,0.9405940594059405,0.9347826086956522,0.85,34,6,95,3
5,6,0.9452366838472929,0.9599999999999999,0.972972972972973,0.9801980198019802,0.9782608695652174,0.9473684210526315,36,2,99,1
6,7,0.8697864764047947,0.9041095890410958,0.8918918918918919,0.9702970297029703,0.9492753623188406,0.9166666666666666,33,3,98,4
7,8,0.8893010046309321,0.911764705882353,0.8378378378378378,1.0,0.9565217391304348,1.0,31,0,101,6
8,9,0.9070399009063035,0.9315068493150684,0.918918918918919,0.9801980198019802,0.9637681159420289,0.9444444444444444,34,2,99,3
9,10,0.8879125143098573,0.9166666666666667,0.8918918918918919,0.9801980198019802,0.9565217391304348,0.9428571428571428,33,2,99,4
