,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.843960425549067,0.8860759493670887,0.9459459459459459,0.9306930693069307,0.9347826086956522,0.8333333333333334,35,7,94,2
1,2,0.8879125143098573,0.9166666666666667,0.8918918918918919,0.9801980198019802,0.9565217391304348,0.9428571428571428,33,2,99,4
2,3,0.7987541882033553,0.8533333333333334,0.8648648648648649,0.9405940594059405,0.9202898550724637,0.8421052631578947,32,6,95,5
3,4,0.7310433447039718,0.8051948051948051,0.8378378378378378,0.9108910891089109,0.8913043478260869,0.775,31,9,92,6
4,5,0.8031548397498246,0.8571428571428571,0.8918918918918919,0.9306930693069307,0.9202898550724637,0.825,33,7,94,4
5,6,0.8593737651482001,0.8974358974358975,0.9459459459459459,0.9405940594059405,0.9420289855072463,0.8536585365853658,35,6,95,2
6,7,0.8522879314958522,0.8918918918918919,0.8918918918918919,0.9603960396039604,0.9420289855072463,0.8918918918918919,33,4,97,4
7,8,0.8031548397498246,0.8571428571428571,0.8918918918918919,0.9306930693069307,0.9202898550724637,0.825,33,7,94,4
8,9,0.8503145005096854,0.888888888888889,0.8648648648648649,0.9702970297029703,0.9420289855072463,0.9142857142857143,32,3,98,5
9,10,0.8522879314958522,0.8918918918918919,0.8918918918918919,0.9603960396039604,0.9420289855072463,0.8918918918918919,33,4,97,4
