,partition,mcc,f1,sn,sp,acc,prec,tp,fp,tn,fn
0,1,0.8879125143098573,0.9166666666666667,0.8918918918918919,0.9801980198019802,0.9565217391304348,0.9428571428571428,33,2,99,4
1,2,0.8522879314958522,0.8918918918918919,0.8918918918918919,0.9603960396039604,0.9420289855072463,0.8918918918918919,33,4,97,4
2,3,0.8153599143698154,0.8648648648648649,0.8648648648648649,0.9504950495049505,0.927536231884058,0.8648648648648649,32,5,96,5
3,4,0.9261439657479261,0.9459459459459459,0.9459459459459459,0.9801980198019802,0.9710144927536232,0.9459459459459459,35,2,99,2
4,5,0.7168969525983447,0.7887323943661971,0.7567567567567568,0.9405940594059405,0.8913043478260869,0.8235294117647058,28,6,95,9
